 0.01; 0.04; 0.04
 0.01; 0.04; 0.03
 0.03; 0.07; 0.07
 0.01; 0.05; 0.03
 0.02; 0.05; 0.03
 0.58; 1.74; 1.37
 0.02; 0.05; 0.05
 0.03; 0.16; 0.06
 0.01; 0.04; 0.03
 0.03; 0.07; 0.07
 0.01; 0.03; 0.03
 0.02; 0.07; 0.07
 0.04; 0.13; 0.11
 0.02; 0.07; 0.03
 0.02; 0.06; 0.06
 0.02; 0.06; 0.07
 0.01; 0.03; 0.02
 0.01; 0.05; 0.06
 0.02; 0.08; 0.07
 0.01; 0.04; 0.04
 0.05; 0.19; 0.15
 0.01; 0.04; 0.03
 0.02; 0.15; 0.05
 0.07; 0.30; 0.24
 0.03; 0.07; 0.04
 0.04; 0.07; 0.06
 0.01; 0.04; 0.03
 0.03; 0.07; 0.05
 0.03; 0.16; 0.15
 0.01; 0.03; 0.03
 0.01; 0.04; 0.05
 0.01; 0.03; 0.02
 0.02; 0.08; 0.07
 0.02; 0.07; 0.04
 0.01; 0.05; 0.04
 0.02; 0.07; 0.04
 0.01; 0.03; 0.03
 0.02; 0.06; 0.06
 0.01; 0.03; 0.03
 0.02; 0.06; 0.09
 0.02; 0.06; 0.04
 0.02; 0.06; 0.07
 0.01; 0.04; 0.03
 0.02; 0.05; 0.04
 0.01; 0.03; 0.03
 0.01; 0.05; 0.04
 0.02; 0.09; 0.07
 0.03; 0.15; 0.09
 0.02; 0.06; 0.04
 0.01; 0.03; 0.03
 0.02; 0.05; 0.03
 0.02; 0.06; 0.05
 0.02; 0.05; 0.05
 0.02; 0.04; 0.03
 0.01; 0.05; 0.03
 0.01; 0.05; 0.03
 0.02; 0.07; 0.04
 0.04; 0.14; 0.08
 0.02; 0.09; 0.03
 0.02; 0.05; 0.05
 0.01; 0.04; 0.02
 0.01; 0.03; 0.03
 0.01; 0.03; 0.03
 0.02; 0.06; 0.06
 0.01; 0.04; 0.03
 0.01; 0.10; 0.05
 0.02; 0.07; 0.07
 0.01; 0.06; 0.06
 0.02; 0.06; 0.04
 0.03; 0.12; 0.12
 0.02; 0.05; 0.06
 0.01; 0.05; 0.04
 0.01; 0.06; 0.05
 0.02; 0.05; 0.04
 0.04; 0.14; 0.10
 0.02; 0.06; 0.05
 0.03; 0.13; 0.06
 0.01; 0.04; 0.03
 0.01; 0.06; 0.02
 0.02; 0.07; 0.07
 0.01; 0.03; 0.02
 0.02; 0.05; 0.03
 0.01; 0.03; 0.02
 0.01; 0.03; 0.03
 0.01; 0.05; 0.04
 0.02; 0.07; 0.04
 0.02; 0.04; 0.03
 0.02; 0.32; 0.07
 0.03; 0.07; 0.07
 0.01; 0.05; 0.04
 0.02; 0.08; 0.04
 0.02; 0.06; 0.05
 0.02; 0.05; 0.05
 0.01; 0.03; 0.02
 0.03; 0.06; 0.09
 0.02; 0.07; 0.05
 0.02; 0.04; 0.04
 0.01; 0.03; 0.03
 0.01; 0.04; 0.04
 0.02; 0.08; 0.05
 0.05; 0.32; 0.10
 0.05; 0.07; 0.11
 0.07; 0.23; 0.24
 0.05; 0.08; 0.15
 0.04; 0.07; 0.15
 0.05; 0.06; 0.13
 0.04; 0.07; 0.08
 0.23; 0.76; 1.48
 0.06; 0.10; 0.14
 0.06; 0.14; 0.19
 0.05; 0.16; 0.15
 0.05; 0.07; 0.36
 0.05; 0.20; 0.13
 0.05; 0.10; 0.09
 0.10; 0.56; 0.36
 0.04; 0.06; 0.05
 0.05; 0.10; 0.11
 0.04; 0.07; 0.07
 0.04; 0.07; 0.06
 0.04; 0.20; 0.10
 0.07; 0.47; 0.23
 0.10; 0.27; 0.27
 0.06; 0.06; 0.11
 0.08; 0.27; 0.29
 0.04; 0.32; 0.12
 0.04; 0.27; 0.10
 0.05; 0.19; 0.18
 0.05; 0.07; 0.17
 0.20; 0.67; 0.56
 0.05; 0.08; 0.18
 0.10; 0.38; 0.42
 0.07; 0.08; 0.21
 0.07; 0.43; 0.21
 0.13; 0.49; 0.65
 0.08; 0.33; 0.28
 0.05; 0.08; 0.11
 0.09; 0.88; 0.20
 0.05; 0.19; 0.13
 0.38; 1.87; 0.82
 0.13; 0.31; 0.60
 0.04; 0.12; 0.11
 0.07; 0.23; 0.21
 0.04; 0.05; 0.05
 0.64; 10.32; 4.34
 0.05; 0.10; 0.11
 0.05; 0.10; 0.11
 0.05; 0.13; 0.15
 0.31; 1.04; 0.58
 0.07; 0.33; 0.18
 0.11; 0.69; 0.45
 0.06; 0.44; 0.16
 0.04; 0.07; 0.11
 0.05; 0.05; 0.07
 0.04; 0.09; 0.09
 6.55; 17.37; 16.76
 0.04; 0.09; 0.12
 0.05; 0.22; 0.11
 0.04; 0.07; 0.09
 0.12; 0.52; 0.27
 0.04; 0.06; 0.07
 0.19; 3.67; 0.50
 0.05; 0.10; 0.11
 0.10; 1.59; 0.34
 0.05; 0.12; 0.19
 0.04; 0.06; 0.08
 0.04; 0.07; 0.07
 0.06; 0.11; 0.10
